Manufacturer,Type,ID,Part Type,String,Model Name,Stats,Effects,Requirements
Daedalus,Assault Rifle,34,Stat Modifier,DAD_AR.part_mag_ted_thrown_04_cov,No visual,3.0s Reload,,
Daedalus,Assault Rifle,35,Stat Modifier,DAD_AR.part_mag_ted_thrown_05_bor,No visual,3.0s Reload,,
Daedalus,Assault Rifle,36,Body,DAD_AR.part_body_bolt,DAD_AR_Body_Bolt,"No stat changes, always present",,
Daedalus,Assault Rifle,37,Scope,DAD_AR.part_scope_02_lens_02,DAD_AR_Scope_02 + 02_L2,ADS ++++Zoom,,
Daedalus,Assault Rifle,38,Scope,DAD_AR.part_scope_02_lens_01,DAD_AR_Scope_02 + 02_L1,ADS +++Zoom,,
Daedalus,Assault Rifle,39,Scope,DAD_AR.part_scope_01_lens_02,DAD_AR_Scope_01 + 01_L2,ADS ++Zoom,,
Daedalus,Assault Rifle,40,Scope,DAD_AR.part_scope_01_lens_01,DAD_AR_Scope_01 + 01_L1,ADS +Zoom,,
Daedalus,Assault Rifle,41,Scope,DAD_AR.part_scope_ironsight,DAD_AR_Scope_Iron,ADS,,
Daedalus,Assault Rifle,42,Scope Accessory,DAD_AR.part_scope_acc_s01_l01_a,DAD_AR_Scope_01_A,"+Fire Rate, Extra borders, Mag Counter",,
Daedalus,Assault Rifle,43,Scope Accessory,DAD_AR.part_scope_acc_s01_l01_b,DAD_AR_Scope_01_B,"+Damage, Extra borders",,
Daedalus,Assault Rifle,44,Scope Accessory,DAD_AR.part_scope_acc_s01_l02_a,DAD_AR_Scope_01_A,"+Fire Rate, Extra central visual, Mag Counter",,
Daedalus,Assault Rifle,45,Scope Accessory,DAD_AR.part_scope_acc_s01_l02_b,DAD_AR_Scope_01_B,"+Damage, Blue and green lines on right of crosshair",,
Daedalus,Assault Rifle,46,Scope Accessory,DAD_AR.part_scope_acc_s02_l01_a,DAD_AR_Scope_02_A,"Radar, Damage type indicator, Extra borders",,
Daedalus,Assault Rifle,47,Scope Accessory,DAD_AR.part_scope_acc_s02_l01_b,DAD_AR_Scope_02_B,"+Crit Damage, extra red visuals on scope",,
Daedalus,Assault Rifle,48,Scope Accessory,DAD_AR.part_scope_acc_s02_l02_a,DAD_AR_Scope_02_A,"Extra borders, Damage type indicator",,
Daedalus,Assault Rifle,49,Scope Accessory,DAD_AR.part_scope_acc_s02_l02_b,DAD_AR_Scope_02_B,"+Crit Damage, Extra borders",,
Daedalus,Assault Rifle,50,Grip,DAD_AR.part_grip_05c_ted_jav,DAD_AR_Grip_05 + 05_C,"Tediore reload modifier: Javelin, no stat changes",,
Daedalus,Assault Rifle,51,Grip,DAD_AR.part_grip_05a_ted_legs,DAD_AR_Grip_05 + 05_A,"Tediore reload modifier: Legs, no stat changes",,
Daedalus,Assault Rifle,52,Grip,DAD_AR.part_grip_05b_ted_homing,DAD_AR_Grip_05 + 05_B,"Tediore reload modifier: Homing, no stat changes",,
Daedalus,Assault Rifle,53,Grip,DAD_AR.part_grip_01,DAD_AR_Grip_01,+Damage,,
Daedalus,Assault Rifle,54,Grip,DAD_AR.part_grip_02,DAD_AR_Grip_02,+Fire Rate,,
Daedalus,Assault Rifle,55,Grip,DAD_AR.part_grip_03,DAD_AR_Grip_03,+Reload Speed,,
Daedalus,Assault Rifle,56,Grip,DAD_AR.part_grip_04_hyp,DAD_AR_Grip_04,"Hyperion Grip, -Acc, Acc increases with continuous fire",,
Daedalus,Assault Rifle,57,Barrel,DAD_AR.part_barrel_02_lumberjack,DAD_AR_Barrel_02,"Bloody Lumberjack Barrel, 1227 Damage, 82% Acc, 4.0/s Fire Rate, 2x Ammo per shot, Timber",Timber - Fires saw-blades that penetrate enemies and ricochet off surfaces; successful hits apply a bleed status effect with a 3 second tick interval.,
Daedalus,Assault Rifle,58,Underbarrel,DAD_AR.part_underbarrel_04_atlas_ball,DAD_AR_UnderBarrel_04,Atlas Tracker Grenades,,
Daedalus,Assault Rifle,59,Underbarrel,DAD_AR.part_underbarrel_04_atlas,DAD_AR_UnderBarrel_04,Atlas Tracker Darts,,
Daedalus,Assault Rifle,60,Underbarrel,DAD_AR.part_underbarrel_06_malswitch,DAD_AR_UnderBarrel_06,"Underbarrel switch, no effects",Used for Maliwan elemental switch,
Daedalus,Assault Rifle,61,Underbarrel,DAD_AR.part_underbarrel_02_shotgun,DAD_AR_UnderBarrel_02,Alt Fire - Shotgun,,
Daedalus,Assault Rifle,62,Underbarrel,DAD_AR.part_underbarrel_03_microrocket,DAD_AR_UnderBarrel_03,Alt Fire - Micro-Rocket POD,,
Daedalus,Assault Rifle,63,Underbarrel,DAD_AR.part_underbarrel_01_grenade,DAD_AR_UnderBarrel_01,Alt Fire - Grenade Launcher,,
Daedalus,Assault Rifle,64,Foregrip,DAD_AR.part_foregrip_01,DAD_AR_Foregrip_01,+Damage,,
Daedalus,Assault Rifle,65,Foregrip,DAD_AR.part_foregrip_02,DAD_AR_Foregrip_02,+Fire Rate,,
Daedalus,Assault Rifle,66,Foregrip,DAD_AR.part_foregrip_03,DAD_AR_Foregrip_03,+Acc,,
Daedalus,Assault Rifle,67,Underbarrel,DAD_AR.part_underbarrel_01_grenade_om,DAD_AR_UnderBarrel_01,Fragcendiary Grenades,Alt-Fire Launches Grenades that deal Incendiary Damage and spawn a Fire Hazard,
Daedalus,Assault Rifle,68,Manufacturer Part,DAD_AR.part_body_mag_ps,No visual,Daedalus Pistol Ammo,,
Daedalus,Assault Rifle,69,Manufacturer Part,DAD_AR.part_body_mag_smg,No visual,Daedalus SMG Ammo,,
Daedalus,Assault Rifle,70,Manufacturer Part,DAD_AR.part_body_mag_sg,No visual,Daedalus Shotgun Ammo,,
Daedalus,Assault Rifle,71,Manufacturer Part,DAD_AR.part_body_mag_sr,No visual,Daedalus SR Ammo,,
Daedalus,Assault Rifle,75,Underbarrel,DAD_AR.part_underbarrel_om_spacelaser,DAD_AR_UnderBarrel_01,Space Laser,Alt-Fire Calls down a Space Laser,
Daedalus,Assault Rifle,76,Underbarrel,DAD_AR.part_underbarrel_06_star_helix,DAD_AR_UnderBarrel_06,Star Helix Underbarrel,Vertical mode for Constellation,
Daedalus,Assault Rifle,77,Barrel,DAD_AR.part_barrel_02_star_helix,DAD_AR_Barrel_02,"Star Helix Barrel, 669 x 3 Damage, 78% Acc, 4.7/s Fire Rate, Constellation",Constellation - Projectiles can be fired vertically or horizontally,"Requires Star Helix underbarrel, part 76"
Daedalus,Assault Rifle,78,Manufacturer Part,DAD_AR.part_shield_default,No visual,Hyperion Shield,,
Daedalus,Assault Rifle,79,Manufacturer Part,DAD_AR.part_shield_ricochet,No visual,Hyperion Ricochet Shield,,
Daedalus,Assault Rifle,80,Manufacturer Part,DAD_AR.part_shield_ammo,No visual,Hyperion Absorb Shield,,
Daedalus,Assault Rifle,81,Manufacturer Part,DAD_AR.part_shield_amp,No visual,Hyperion Amp Shield,,
Daedalus,Pistol,1,Barrel,DAD_PS.part_barrel_01_zipgun,,,,
Daedalus,Pistol,2,Body,DAD_PS.part_body,,,,
Daedalus,Pistol,3,Body Accessory,DAD_PS.part_body_a,,,,
Daedalus,Pistol,4,Body Accessory,DAD_PS.part_body_b,,,,
Daedalus,Pistol,5,Body Accessory,DAD_PS.part_body_c,,,,
Daedalus,Pistol,6,Body Accessory,DAD_PS.part_body_d,,,,
Daedalus,Pistol,7,Barrel,DAD_PS.part_barrel_01,,,,
Daedalus,Pistol,8,Barrel,DAD_PS.part_barrel_02,,,,
Daedalus,Pistol,9,Manufacturer Part,DAD_PS.part_shield_default,,,,
Daedalus,Pistol,10,Manufacturer Part,DAD_PS.part_shield_ricochet,,,,
Daedalus,Pistol,11,Manufacturer Part,DAD_PS.part_shield_ammo,,,,
Daedalus,Pistol,12,Manufacturer Part,DAD_PS.part_shield_amp,,,,
Daedalus,Pistol,13,Magazine,DAD_PS.part_mag_01,,,,
Daedalus,Pistol,14,Magazine,DAD_PS.part_mag_02,,,,
Daedalus,Pistol,15,Magazine,DAD_PS.part_mag_03_tor,,,,
Daedalus,Pistol,16,Magazine,DAD_PS.part_mag_04_cov,,,,
Daedalus,Pistol,17,Magazine,DAD_PS.part_mag_05_borg,,,,
Daedalus,Pistol,18,Manufacturer Part,DAD_PS.part_mag_torgue_normal,,,,
Daedalus,Pistol,19,Manufacturer Part,DAD_PS.part_mag_torgue_sticky,,,,
Daedalus,Pistol,20,Stat Modifier,DAD_PS.part_mag_ted_thrown_01,,,,
Daedalus,Pistol,21,Stat Modifier,DAD_PS.part_mag_ted_thrown_02,,,,
Daedalus,Pistol,22,Stat Modifier,DAD_PS.part_mag_ted_thrown_03_tor,,,,
Daedalus,Pistol,23,Stat Modifier,DAD_PS.part_mag_ted_thrown_04_cov,,,,
Daedalus,Pistol,24,Stat Modifier,DAD_PS.part_mag_ted_thrown_05_bor,,,,
Daedalus,Pistol,25,Scope,DAD_PS.part_scope_ironsight,,,,
Daedalus,Pistol,26,Scope,DAD_PS.part_scope_01_lens_01,,,,
Daedalus,Pistol,27,Scope,DAD_PS.part_scope_01_lens_02,,,,
Daedalus,Pistol,28,Scope,DAD_PS.part_scope_02_lens_01,,,,
Daedalus,Pistol,29,Scope,DAD_PS.part_scope_02_lens_02,,,,
Daedalus,Pistol,30,Scope Accessory,DAD_PS.part_scope_acc_s01_l01_a,,,,
Daedalus,Pistol,31,Scope Accessory,DAD_PS.part_scope_acc_s01_l01_b,,,,
Daedalus,Pistol,32,Scope Accessory,DAD_PS.part_scope_acc_s02_l01_a,,,,
Daedalus,Pistol,33,Scope Accessory,DAD_PS.part_scope_acc_s02_l01_b,,,,
Daedalus,Pistol,34,Scope Accessory,DAD_PS.part_scope_acc_s01_l02_a,,,,
Daedalus,Pistol,35,Scope Accessory,DAD_PS.part_scope_acc_s01_l02_b,,,,
Daedalus,Pistol,36,Scope Accessory,DAD_PS.part_scope_acc_s02_l02_a,,,,
Daedalus,Pistol,37,Scope Accessory,DAD_PS.part_scope_acc_s02_l02_b,,,,
Daedalus,Pistol,38,Grip,DAD_PS.part_grip_05c_ted_jav,,,,
Daedalus,Pistol,39,Grip,DAD_PS.part_grip_05a_ted_legs,,,,
Daedalus,Pistol,40,Grip,DAD_PS.part_grip_05b_ted_homing,,,,
Daedalus,Pistol,41,Grip,DAD_PS.part_grip_04_hyp,,,,
Daedalus,Pistol,42,Grip,DAD_PS.part_grip_01,,,,
Daedalus,Pistol,43,Grip,DAD_PS.part_grip_02,,,,
Daedalus,Pistol,44,Grip,DAD_PS.part_grip_03,,,,
Daedalus,Pistol,45,Underbarrel,DAD_PS.part_underbarrel_06_malswitch,,,,
Daedalus,Pistol,46,Underbarrel,DAD_PS.part_underbarrel_04_atlas_ball,,,,
Daedalus,Pistol,47,Underbarrel,DAD_PS.part_underbarrel_02_knifelauncher,,,,
Daedalus,Pistol,48,Underbarrel,DAD_PS.part_underbarrel_01_taser,,,,
Daedalus,Pistol,49,Foregrip,DAD_PS.part_foregrip_02,,,,
Daedalus,Pistol,50,Foregrip,DAD_PS.part_foregrip_03,,,,
Daedalus,Pistol,51,Manufacturer Part,DAD_PS.part_body_mag_smg,,,,
Daedalus,Pistol,52,Manufacturer Part,DAD_PS.part_body_mag_ar,,,,
Daedalus,Pistol,53,Manufacturer Part,DAD_PS.part_body_mag_sr,,,,
Daedalus,Pistol,57,Stat Modifier,DAD_PS.part_mag_05_borg_barrel_02,,,,
Daedalus,Pistol,58,Stat Modifier,DAD_PS.part_mag_05_borg_barrel_01,,,,
Daedalus,Pistol,60,Barrel Accessory,DAD_PS.part_barrel_01_a,,,,
Daedalus,Pistol,61,Barrel Accessory,DAD_PS.part_barrel_01_b,,,,
Daedalus,Pistol,62,Barrel Accessory,DAD_PS.part_barrel_01_c,,,,
Daedalus,Pistol,63,Barrel Accessory,DAD_PS.part_barrel_01_d,,,,
Daedalus,Pistol,64,Barrel Accessory,DAD_PS.part_barrel_02_a,,,,
Daedalus,Pistol,65,Barrel Accessory,DAD_PS.part_barrel_02_b,,,,
Daedalus,Pistol,66,Barrel Accessory,DAD_PS.part_barrel_02_c,,,,
Daedalus,Pistol,67,Barrel Accessory,DAD_PS.part_barrel_02_d,,,,
Daedalus,Pistol,68,Manufacturer Part,DAD_PS.part_barrel_licensed_jak,,,,
Daedalus,Pistol,69,Manufacturer Part,DAD_PS.part_barrel_licensed_ted,,,,
Daedalus,Pistol,70,Manufacturer Part,DAD_PS.part_barrel_licensed_ted_shooting,,,,
Daedalus,Pistol,71,Manufacturer Part,DAD_PS.part_barrel_licensed_ted_mirv,,,,
Daedalus,Pistol,72,Manufacturer Part,DAD_PS.part_barrel_licensed_ted_combo,,,,
Daedalus,Pistol,73,Manufacturer Part,DAD_PS.part_barrel_licensed_hyp,,,,
Daedalus,Pistol,74,Underbarrel,DAD_PS.part_underbarrel_04_atlas,,,,
Daedalus,Pistol,75,Underbarrel,DAD_PS.part_underbarrel_03_semtex,,,,
Daedalus,Pistol,76,Foregrip,DAD_PS.part_foregrip_01,,,,
Daedalus,Pistol,77,Manufacturer Part,DAD_PS.part_body_mag_sg,,,,
Daedalus,Pistol,78,Barrel,DAD_PS.part_barrel_02_rangefinder,,,,
Daedalus,Shotgun,2,Body,DAD_SG.part_body,,,,
Daedalus,Shotgun,3,Body Accessory,DAD_SG.part_body_a,,,,
Daedalus,Shotgun,4,Body Accessory,DAD_SG.part_body_b,,,,
Daedalus,Shotgun,5,Body Accessory,DAD_SG.part_body_c,,,,
Daedalus,Shotgun,6,Body Accessory,DAD_SG.part_body_d,,,,
Daedalus,Shotgun,7,Barrel,DAD_SG.part_barrel_01,,,,
Daedalus,Shotgun,8,Barrel,DAD_SG.part_barrel_02,,,,
Daedalus,Shotgun,9,Manufacturer Part,DAD_SG.part_shield_default,,,,
Daedalus,Shotgun,10,Manufacturer Part,DAD_SG.part_shield_ricochet,,,,
Daedalus,Shotgun,11,Manufacturer Part,DAD_SG.part_shield_ammo,,,,
Daedalus,Shotgun,12,Manufacturer Part,DAD_SG.part_shield_amp,,,,
Daedalus,Shotgun,13,Magazine,DAD_SG.part_mag_05_borg,,,,
Daedalus,Shotgun,14,Magazine,DAD_SG.part_mag_04_cov,,,,
Daedalus,Shotgun,15,Magazine,DAD_SG.part_mag_03_tor,,,,
Daedalus,Shotgun,16,Magazine,DAD_SG.part_mag_01,,,,
Daedalus,Shotgun,17,Magazine,DAD_SG.part_mag_02,,,,
Daedalus,Shotgun,18,Stat Modifier,DAD_SG.part_mag_ted_thrown_01,,,,
Daedalus,Shotgun,19,Stat Modifier,DAD_SG.part_mag_ted_thrown_02,,,,
Daedalus,Shotgun,20,Stat Modifier,DAD_SG.part_mag_ted_thrown_03_tor,,,,
Daedalus,Shotgun,21,Stat Modifier,DAD_SG.part_mag_ted_thrown_04_cov,,,,
Daedalus,Shotgun,22,Stat Modifier,DAD_SG.part_mag_ted_thrown_05_bor,,,,
Daedalus,Shotgun,23,Scope,DAD_SG.part_scope_ironsight,,,,
Daedalus,Shotgun,24,Scope,DAD_SG.part_scope_01_lens_01,,,,
Daedalus,Shotgun,25,Scope,DAD_SG.part_scope_01_lens_02,,,,
Daedalus,Shotgun,26,Scope,DAD_SG.part_scope_02_lens_01,,,,
Daedalus,Shotgun,27,Scope,DAD_SG.part_scope_02_lens_02,,,,
Daedalus,Shotgun,28,Scope Accessory,DAD_SG.part_scope_acc_s01_l01_a,,,,
Daedalus,Shotgun,29,Scope Accessory,DAD_SG.part_scope_acc_s01_l01_b,,,,
Daedalus,Shotgun,30,Scope Accessory,DAD_SG.part_scope_acc_s02_l01_a,,,,
Daedalus,Shotgun,31,Scope Accessory,DAD_SG.part_scope_acc_s02_l01_b,,,,
Daedalus,Shotgun,32,Scope Accessory,DAD_SG.part_scope_acc_s01_l02_a,,,,
Daedalus,Shotgun,33,Scope Accessory,DAD_SG.part_scope_acc_s01_l02_b,,,,
Daedalus,Shotgun,34,Scope Accessory,DAD_SG.part_scope_acc_s02_l02_a,,,,
Daedalus,Shotgun,35,Scope Accessory,DAD_SG.part_scope_acc_s02_l02_b,,,,
Daedalus,Shotgun,36,Grip,DAD_SG.part_grip_05a_ted_legs,,,,
Daedalus,Shotgun,37,Grip,DAD_SG.part_grip_05c_ted_jav,,,,
Daedalus,Shotgun,38,Grip,DAD_SG.part_grip_05b_ted_homing,,,,
Daedalus,Shotgun,39,Grip,DAD_SG.part_grip_01,,,,
Daedalus,Shotgun,40,Grip,DAD_SG.part_grip_02,,,,
Daedalus,Shotgun,41,Grip,DAD_SG.part_grip_03,,,,
Daedalus,Shotgun,42,Grip,DAD_SG.part_grip_04_hyp,,,,
Daedalus,Shotgun,43,Underbarrel,DAD_SG.part_underbarrel_02_singularity,,,,
Daedalus,Shotgun,44,Underbarrel,DAD_SG.part_underbarrel_06_malswitch,,,,
Daedalus,Shotgun,45,Underbarrel,DAD_SG.part_underbarrel_01_microrocket,,,,
Daedalus,Shotgun,46,Underbarrel,DAD_SG.part_underbarrel_04_atlas,,,,
Daedalus,Shotgun,47,Foregrip,DAD_SG.part_foregrip_01,,,,
Daedalus,Shotgun,48,Foregrip,DAD_SG.part_foregrip_03,,,,
Daedalus,Shotgun,49,Foregrip,DAD_SG.part_foregrip_02,,,,
Daedalus,Shotgun,50,Underbarrel,DAD_SG.part_underbarrel_03_mine,,,,
Daedalus,Shotgun,51,Underbarrel,DAD_SG.part_underbarrel_04_atlas_ball,,,,
Daedalus,Shotgun,52,Barrel,DAD_SG.part_barrel_01_bod,,,,
Daedalus,Shotgun,54,Barrel,DAD_SG.part_barrel_heartgun,,,,
Daedalus,Shotgun,61,Barrel Accessory,DAD_SG.part_barrel_01_a,,,,
Daedalus,Shotgun,62,Barrel Accessory,DAD_SG.part_barrel_01_b,,,,
Daedalus,Shotgun,63,Barrel Accessory,DAD_SG.part_barrel_01_c,,,,
Daedalus,Shotgun,64,Barrel Accessory,DAD_SG.part_barrel_01_d,,,,
Daedalus,Shotgun,65,Barrel Accessory,DAD_SG.part_barrel_02_a,,,,
Daedalus,Shotgun,66,Barrel Accessory,DAD_SG.part_barrel_02_b,,,,
Daedalus,Shotgun,67,Barrel Accessory,DAD_SG.part_barrel_02_c,,,,
Daedalus,Shotgun,68,Barrel Accessory,DAD_SG.part_barrel_02_d,,,,
Daedalus,Shotgun,69,Manufacturer Part,DAD_SG.part_barrel_licensed_jak,,,,
Daedalus,Shotgun,70,Manufacturer Part,DAD_SG.part_barrel_licensed_ted,,,,
Daedalus,Shotgun,71,Manufacturer Part,DAD_SG.part_barrel_licensed_ted_shooting,,,,
Daedalus,Shotgun,72,Manufacturer Part,DAD_SG.part_barrel_licensed_ted_mirv,,,,
Daedalus,Shotgun,73,Manufacturer Part,DAD_SG.part_barrel_licensed_ted_combo,,,,
Daedalus,Shotgun,74,Manufacturer Part,DAD_SG.part_barrel_licensed_hyp,,,,
Daedalus,Shotgun,,Manufacturer Part,DAD_SG.part_mag_torgue_normal,,,,
Daedalus,Shotgun,76,Manufacturer Part,DAD_SG.part_mag_torgue_sticky,,,,
Daedalus,Shotgun,77,Manufacturer Part,DAD_SG.part_body_mag_ps,,,,
Daedalus,Shotgun,78,Manufacturer Part,DAD_SG.part_body_mag_smg,,,,
Daedalus,Shotgun,79,Manufacturer Part,DAD_SG.part_body_mag_ar,,,,
Daedalus,Shotgun,80,Manufacturer Part,DAD_SG.part_body_mag_sr,,,,
Daedalus,SMG,3,Body Accessory,DAD_SM.part_body_a,,,,
Daedalus,SMG,4,Body Accessory,DAD_SM.part_body_b,,,,
Daedalus,SMG,5,Body Accessory,DAD_SM.part_body_c,,,,
Daedalus,SMG,6,Body Accessory,DAD_SM.part_body_d,,,,
Daedalus,SMG,7,Barrel,DAD_SM.part_barrel_01,,,,
Daedalus,SMG,8,Barrel,DAD_SM.part_barrel_02,,,,
Daedalus,SMG,9,Manufacturer Part,DAD_SM.part_shield_default,,,,
Daedalus,SMG,10,Manufacturer Part,DAD_SM.part_shield_ricochet,,,,
Daedalus,SMG,11,Manufacturer Part,DAD_SM.part_shield_ammo,,,,
Daedalus,SMG,12,Manufacturer Part,DAD_SM.part_shield_amp,,,,
Daedalus,SMG,13,Magazine,DAD_SM.part_mag_01,,,,
Daedalus,SMG,14,Magazine,DAD_SM.part_mag_02,,,,
Daedalus,SMG,15,Magazine,DAD_SM.part_mag_03_tor,,,,
Daedalus,SMG,16,Magazine,DAD_SM.part_mag_04_cov,,,,
Daedalus,SMG,17,Magazine,DAD_SM.part_mag_05_borg,,,,
Daedalus,SMG,18,Manufacturer Part,DAD_SM.part_mag_torgue_normal,,,,
Daedalus,SMG,19,Manufacturer Part,DAD_SM.part_mag_torgue_sticky,,,,
Daedalus,SMG,20,Stat Modifier,DAD_SM.part_mag_ted_thrown_01,,,,
Daedalus,SMG,21,Stat Modifier,DAD_SM.part_mag_ted_thrown_02,,,,
Daedalus,SMG,22,Stat Modifier,DAD_SM.part_mag_ted_thrown_03_tor,,,,
Daedalus,SMG,23,Stat Modifier,DAD_SM.part_mag_ted_thrown_04_cov,,,,
Daedalus,SMG,24,Stat Modifier,DAD_SM.part_mag_ted_thrown_05_bor,,,,
Daedalus,SMG,25,Scope,DAD_SM.part_scope_02_lens_02,,,,
Daedalus,SMG,26,Scope,DAD_SM.part_scope_02_lens_01,,,,
Daedalus,SMG,27,Scope,DAD_SM.part_scope_01_lens_02,,,,
Daedalus,SMG,28,Scope,DAD_SM.part_scope_01_lens_01,,,,
Daedalus,SMG,29,Scope,DAD_SM.part_scope_ironsight,,,,
Daedalus,SMG,30,Scope Accessory,DAD_SM.part_scope_acc_s02_lb_b,,,,
Daedalus,SMG,31,Scope Accessory,DAD_SM.part_scope_acc_s02_lb_a,,,,
Daedalus,SMG,32,Scope Accessory,DAD_SM.part_scope_acc_s01_l01_a,,,,
Daedalus,SMG,33,Scope Accessory,DAD_SM.part_scope_acc_s01_l01_b,,,,
Daedalus,SMG,34,Scope Accessory,DAD_SM.part_scope_acc_s01_l02_a,,,,
Daedalus,SMG,35,Scope Accessory,DAD_SM.part_scope_acc_s01_l02_b,,,,
Daedalus,SMG,36,Scope Accessory,DAD_SM.part_scope_acc_s02_l01_a,,,,
Daedalus,SMG,37,Scope Accessory,DAD_SM.part_scope_acc_s02_l01_b,,,,
Daedalus,SMG,38,Scope Accessory,DAD_SM.part_scope_acc_s02_l02_a,,,,
Daedalus,SMG,39,Scope Accessory,DAD_SM.part_scope_acc_s02_l02_b,,,,
Daedalus,SMG,40,Grip,DAD_SM.part_grip_05a_ted_legs,,,,
Daedalus,SMG,41,Grip,DAD_SM.part_grip_05c_ted_jav,,,,
Daedalus,SMG,42,Grip,DAD_SM.part_grip_05b_ted_homing,,,,
Daedalus,SMG,43,Grip,DAD_SM.part_grip_04_hyp,,,,
Daedalus,SMG,44,Grip,DAD_SM.part_grip_01,,,,
Daedalus,SMG,45,Grip,DAD_SM.part_grip_02,,,,
Daedalus,SMG,46,Grip,DAD_SM.part_grip_03,,,,
